num,name,price,type,sold,star,from,img_src,url
1,⚡ใส่โค้ด SHA4ZIJH0X ลด 80 บาท⚡ ส้มโอขาวแตงกวา ส้มโอ ชัยนาท ลูกละ 0.8 กก.,฿55.12,ร้านแนะนำ,986.0,4.7385,จังหวัดชัยนาท,https://cf.shopee.co.th/file/1f3829840c85fb697689231f25ff7263_tn,https://shopee.co.th//⚡ใส่โค้ด-SHA4ZIJH0X-ลด-80-บาท⚡-ส้มโอขาวแตงกวา-ส้มโอ-ชัยนาท-ลูกละ-0.8-กก.-i.78844268.7829225562
2,ใช้โค้ดDURE395ลดเพิ่ม15% * หมอนทองจันทบุรี 100% 3 ลูก 10 โล,"฿1,782",general,no sold,0.0,จังหวัดจันทบุรี,https://cf.shopee.co.th/file/20aff2ee1ba49ca78103199ab16d0a3f_tn,https://shopee.co.th//ใช้โค้ดDURE395ลดเพิ่ม15-*-หมอนทองจันทบุรี-100-3-ลูก-10-โล-i.395360852.7880564343
3,ส้มโอทับทิมสยาม จากสวนที่ดีที่สุดของประเทศ,฿265 - ฿360,general,no sold,0.0,จังหวัดระนอง,https://cf.shopee.co.th/file/a411b7b75702a64f44fc58b22b8e77ea_tn,https://shopee.co.th//ส้มโอทับทิมสยาม-จากสวนที่ดีที่สุดของประเทศ-i.345265128.4265621517
4,ปลาทูมัน แม่กลอง สูตร ดอกเกลือ เค็มน้อย ใช้ปลาไซส์ใหญ่ สดใหม่ ไร้สารกันเสีย ทำเองค่ะ สะอาด คลีน คีโต keto ปลาทู ปลาทูหอม,฿39 - ฿43,ร้านแนะนำ,3400.0,4.886,จังหวัดสมุทรสงคราม,https://cf.shopee.co.th/file/e3fc9cc82477fba3f44ffeb5e974951d_tn,https://shopee.co.th//ปลาทูมัน-แม่กลอง-สูตร-ดอกเกลือ-เค็มน้อย-ใช้ปลาไซส์ใหญ่-สดใหม่-ไร้สารกันเสีย-ทำเองค่ะ-สะอาด-คลีน-คีโต-keto-ปลาทู-ปลาทูหอม-i.43331754.6124343094
5,มะม่วงแก้วโบราณ สุกหวานเนื้อสีส้ม ใกล้หมดฤดูกาลแล้ว เหลือ 5 กิโลสุดท้าย กิโลกรัมละ 35 บาท,฿35,general,5.0,0.0,จังหวัดศรีสะเกษ,https://cf.shopee.co.th/file/911a914730a8268d5edb1342a7ff3b77_tn,https://shopee.co.th//มะม่วงแก้วโบราณ-สุกหวานเนื้อสีส้ม-ใกล้หมดฤดูกาลแล้ว-เหลือ-5-กิโลสุดท้าย-กิโลกรัมละ-35-บาท-i.17466925.9952389607
6,"5.5 ส่งฟรี ส้มโอทองดี "" โปรโมชั่น ส่งฟรี !! ทุกกล่อง   """,฿150,general,279.0,4.874,จังหวัดนครปฐม,https://cf.shopee.co.th/file/7007844f44f9b1c80b7be11471104696_tn,https://shopee.co.th//5.5-ส่งฟรี-ส้มโอทองดี-โปรโมชั่น-ส่งฟรี-!!-ทุกกล่อง--i.62130553.5445648786
7,⚡ใส่โค้ด SHA4ZIJH0X ลด 80 บาท⚡ ส้มโอขาวแตงกวา ส้มโอ ชัยนาท ลูกละ 0.8 กก.,฿55,ร้านแนะนำ,986.0,4.7385,จังหวัดชัยนาท,https://cf.shopee.co.th/file/1f3829840c85fb697689231f25ff7263_tn,https://shopee.co.th//⚡ใส่โค้ด-SHA4ZIJH0X-ลด-80-บาท⚡-ส้มโอขาวแตงกวา-ส้มโอ-ชัยนาท-ลูกละ-0.8-กก.-i.78844268.7829225562
8,ส้มโออัมพวา ไซส์เล็ก 3 ลูก 100 บาท,฿100,general,280.0,4.8655,จังหวัดสมุทรสงคราม,https://cf.shopee.co.th/file/3ff2c383e55da7924766fcf4dfd1dfeb_tn,https://shopee.co.th//ส้มโออัมพวา-ไซส์เล็ก-3-ลูก-100-บาท-i.39298135.6610356886
9,ส้มโอขาวใหญ่อัมพวา หวานฉ่ำ ไม่มีเมล็ดผ่านมาตรฐานGAP ปลอดสารพิษและสารเคมีตกค้าง,฿48 - ฿160,general,694.0,4.796,จังหวัดสมุทรสงคราม,https://cf.shopee.co.th/file/53d136271e4390c89b0a958f497bee13_tn,https://shopee.co.th//ส้มโอขาวใหญ่อัมพวา-หวานฉ่ำ-ไม่มีเมล็ดผ่านมาตรฐานGAP-ปลอดสารพิษและสารเคมีตกค้าง-i.20987826.4236509561
10,🌟#ส้มโอหวานส้มโอขาวใหญ่อัมพวา✨✨✨ 😊 ส้มโอสวนอาม่าอร่อยมว๊ากก 😊,฿60 - ฿150,general,82.0,4.8824,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/80c140097356c6ecef76b91f7f1e3786_tn,https://shopee.co.th//🌟-ส้มโอหวานส้มโอขาวใหญ่อัมพวา✨✨✨-😊-ส้มโอสวนอาม่าอร่อยมว๊ากก-😊-i.283578752.9439315010
